frame_id,timestamp_sec,track_id,class,x1,y1,x2,y2,center_x,center_y,confidence,displacement_px,direction,speed_mps,status,alerts
42,1.367,1,car,1698,659,1774,720,1736,689,0.5327,1.0,Stationary,0.38,Stationary,Normal
43,1.4,23,motorcycle,1322,727,1375,807,1348,767,0.5847,5.83,Right,2.19,Moving,Normal
43,1.4,7,motorcycle,1504,693,1548,769,1526,731,0.5906,5.0,Up,1.88,Moving,Normal
43,1.4,1,car,1699,658,1773,717,1736,687,0.4781,2.0,Stationary,0.75,Stationary,Normal
43,1.4,11,car,1860,490,1897,521,1878,505,0.4643,3.61,Stationary,1.35,Stationary,Normal
44,1.433,23,motorcycle,1327,726,1378,803,1352,764,0.6662,5.0,Right,1.88,Moving,Normal
44,1.433,7,motorcycle,1508,691,1552,767,1530,729,0.4056,4.47,Right,1.68,Moving,Normal
44,1.433,24,motorcycle,1728,719,1764,784,1746,751,0.4997,17.46,Up,6.55,Moving,Normal
45,1.467,23,motorcycle,1330,719,1383,800,1356,759,0.5622,6.4,Up,2.4,Moving,Normal
45,1.467,24,motorcycle,1728,716,1764,779,1746,747,0.4427,4.0,Up,1.5,Moving,Normal
46,1.5,23,motorcycle,1334,715,1387,796,1360,755,0.6209,5.66,Up,2.12,Moving,Normal
46,1.5,24,motorcycle,1728,712,1764,776,1746,744,0.5405,3.0,Stationary,1.12,Stationary,Normal
47,1.533,23,motorcycle,1338,714,1389,792,1363,753,0.6528,3.61,Stationary,1.35,Stationary,Normal
47,1.533,24,motorcycle,1729,710,1765,773,1747,741,0.4191,3.16,Stationary,1.19,Stationary,Normal
48,1.567,23,motorcycle,1344,713,1393,788,1368,750,0.5676,5.83,Right,2.19,Moving,Normal
48,1.567,1,car,1704,647,1779,705,1741,676,0.4318,12.08,Up,4.53,Moving,Normal
48,1.567,7,motorcycle,1522,681,1563,752,1542,716,0.4297,17.69,Up,6.63,Moving,Normal
49,1.6,23,motorcycle,1348,709,1397,783,1372,746,0.7088,5.66,Up,2.12,Moving,Normal
49,1.6,7,motorcycle,1526,676,1566,747,1546,711,0.5411,6.4,Up,2.4,Moving,Normal
50,1.633,23,motorcycle,1352,705,1400,781,1376,743,0.7215,5.0,Right,1.88,Moving,Normal
50,1.633,7,motorcycle,1528,672,1568,743,1548,707,0.5922,4.47,Up,1.68,Moving,Normal
51,1.667,23,motorcycle,1355,701,1404,777,1379,739,0.6703,5.0,Up,1.88,Moving,Normal
51,1.667,7,motorcycle,1531,670,1571,741,1551,705,0.5906,3.61,Stationary,1.35,Stationary,Normal
52,1.7,23,motorcycle,1359,697,1407,773,1383,735,0.659,5.66,Up,2.12,Moving,Normal
52,1.7,7,motorcycle,1535,672,1572,739,1553,705,0.563,2.0,Stationary,0.75,Stationary,Normal
52,1.7,1,car,1709,648,1774,696,1741,672,0.4867,4.0,Up,1.5,Moving,Normal
53,1.733,23,motorcycle,1364,696,1411,770,1387,733,0.6669,4.47,Right,1.68,Moving,Normal
53,1.733,7,motorcycle,1538,669,1575,736,1556,702,0.5528,4.24,Stationary,1.59,Stationary,Normal
54,1.767,23,motorcycle,1370,696,1414,767,1392,731,0.6185,5.39,Right,2.02,Moving,Normal
54,1.767,7,motorcycle,1541,665,1579,732,1560,698,0.5225,5.66,Up,2.12,Moving,Normal
54,1.767,1,car,1712,646,1773,691,1742,668,0.4503,4.12,Up,1.55,Moving,Normal
55,1.8,23,motorcycle,1372,692,1417,763,1394,727,0.687,4.47,Up,1.68,Moving,Normal
55,1.8,7,motorcycle,1544,661,1583,730,1563,695,0.5634,4.24,Stationary,1.59,Stationary,Normal
56,1.833,23,motorcycle,1376,688,1420,758,1398,723,0.7041,5.66,Up,2.12,Moving,Normal
56,1.833,7,motorcycle,1547,658,1586,728,1566,693,0.578,3.61,Stationary,1.35,Stationary,Normal
57,1.867,23,motorcycle,1380,685,1424,756,1402,720,0.675,5.0,Right,1.88,Moving,Normal
57,1.867,7,motorcycle,1549,654,1588,725,1568,689,0.5088,4.47,Up,1.68,Moving,Normal
58,1.9,23,motorcycle,1384,683,1427,754,1405,718,0.6514,3.61,Stationary,1.35,Stationary,Normal
58,1.9,7,motorcycle,1550,651,1589,721,1569,686,0.5795,3.16,Stationary,1.19,Stationary,Normal
59,1.933,23,motorcycle,1387,681,1430,752,1408,716,0.5816,3.61,Stationary,1.35,Stationary,Normal
59,1.933,7,motorcycle,1552,650,1591,718,1571,684,0.4161,2.83,Stationary,1.06,Stationary,Normal
61,2.0,7,motorcycle,1563,662,1592,712,1577,687,0.4288,6.71,Right,2.52,Moving,Normal
64,2.1,23,motorcycle,1405,671,1444,734,1424,702,0.4595,21.26,Right,7.97,Moving,Normal
66,2.167,1,car,1707,615,1781,671,1744,643,0.4023,25.08,Up,9.4,Moving,Normal
69,2.267,54,person,1179,840,1230,944,1204,892,0.6034,0.0,Stationary,0.0,Stationary,Normal
70,2.3,54,person,1194,832,1249,945,1221,888,0.4982,17.46,Right,6.55,Moving,Normal
70,2.3,7,person,1584,627,1619,690,1601,658,0.4439,37.64,Up,14.12,Moving,Normal
71,2.333,54,person,1205,822,1259,934,1232,878,0.5161,14.87,Right,5.58,Moving,Normal
71,2.333,7,person,1587,625,1619,686,1603,655,0.4161,3.61,Stationary,1.35,Stationary,RAPID_DECELERATION
72,2.367,54,person,1221,815,1270,915,1245,865,0.4238,18.38,Up,6.89,Moving,Normal
73,2.4,54,person,1233,810,1277,899,1255,854,0.4414,14.87,Up,5.58,Moving,Normal
73,2.4,23,person,1431,648,1469,711,1450,679,0.4151,34.71,Right,13.02,Moving,Normal
74,2.433,54,person,1240,803,1288,900,1264,851,0.4726,9.49,Right,3.56,Moving,Normal
74,2.433,23,motorcycle,1434,647,1472,709,1453,678,0.4045,3.16,Stationary,1.19,Stationary,RAPID_DECELERATION
75,2.467,54,motorcycle,1258,829,1294,900,1276,864,0.512,17.69,Down,6.63,Moving,Normal
76,2.5,1,car,1715,602,1772,646,1743,624,0.5211,19.03,Up,7.14,Moving,Normal
